iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
10/12/2020,05/08/2020,194,,
10/12/2020,06/08/2020,200,,
10/12/2020,07/08/2020,185,,
10/12/2020,08/08/2020,227,,
10/12/2020,09/08/2020,202,,
10/12/2020,10/08/2020,266,,
10/12/2020,11/08/2020,242,,
10/12/2020,12/08/2020,254,,
10/12/2020,13/08/2020,278,,
10/12/2020,14/08/2020,285,,
10/12/2020,15/08/2020,327,,
10/12/2020,16/08/2020,329,,
10/12/2020,17/08/2020,532,,
10/12/2020,18/08/2020,575,,
10/12/2020,19/08/2020,525,,
10/12/2020,20/08/2020,522,,
10/12/2020,21/08/2020,562,,
10/12/2020,22/08/2020,525,,
10/12/2020,23/08/2020,549,,
10/12/2020,24/08/2020,615,,
10/12/2020,25/08/2020,582,,
10/12/2020,26/08/2020,557,,
10/12/2020,27/08/2020,513,,
10/12/2020,28/08/2020,521,,
10/12/2020,29/08/2020,405,,
10/12/2020,30/08/2020,386,,
10/12/2020,31/08/2020,504,,
10/12/2020,01/09/2020,670,,
10/12/2020,02/09/2020,571,,
10/12/2020,03/09/2020,540,,
10/12/2020,04/09/2020,599,,
10/12/2020,05/09/2020,502,,
10/12/2020,06/09/2020,475,,
10/12/2020,07/09/2020,736,,
10/12/2020,08/09/2020,599,,
10/12/2020,09/09/2020,614,,
10/12/2020,10/09/2020,690,,
10/12/2020,11/09/2020,586,,
10/12/2020,12/09/2020,597,,
10/12/2020,13/09/2020,541,,
10/12/2020,14/09/2020,784,,
10/12/2020,15/09/2020,795,,
10/12/2020,16/09/2020,730,,
10/12/2020,17/09/2020,748,,
10/12/2020,18/09/2020,757,,
10/12/2020,19/09/2020,757,,
10/12/2020,20/09/2020,752,,
10/12/2020,21/09/2020,819,,
10/12/2020,22/09/2020,820,,
10/12/2020,23/09/2020,749,,
10/12/2020,24/09/2020,750,,
10/12/2020,25/09/2020,841,,
10/12/2020,26/09/2020,815,,
10/12/2020,27/09/2020,834,,
10/12/2020,28/09/2020,1157,,
10/12/2020,29/09/2020,1058,,
10/12/2020,30/09/2020,1409,,
10/12/2020,01/10/2020,1898,,
10/12/2020,02/10/2020,1793,,
10/12/2020,03/10/2020,1953,,
10/12/2020,04/10/2020,1917,,
10/12/2020,05/10/2020,2677,,
10/12/2020,06/10/2020,2524,,
10/12/2020,07/10/2020,2888,,
10/12/2020,08/10/2020,3133,,
10/12/2020,09/10/2020,3389,,
10/12/2020,10/10/2020,3900,,
10/12/2020,11/10/2020,3384,,
10/12/2020,12/10/2020,5077,,
10/12/2020,13/10/2020,4823,,
10/12/2020,14/10/2020,5284,,
10/12/2020,15/10/2020,5940,,
10/12/2020,16/10/2020,6565,,
10/12/2020,17/10/2020,6598,,
10/12/2020,18/10/2020,6682,,
10/12/2020,19/10/2020,8913,,
10/12/2020,20/10/2020,9594,,
10/12/2020,21/10/2020,9064,,
10/12/2020,22/10/2020,9184,,
10/12/2020,23/10/2020,10130,,
10/12/2020,24/10/2020,9705,,
10/12/2020,25/10/2020,9970,,
10/12/2020,26/10/2020,12544,,
10/12/2020,27/10/2020,11522,,
10/12/2020,28/10/2020,12202,,
10/12/2020,29/10/2020,11384,,
10/12/2020,30/10/2020,12001,,
10/12/2020,31/10/2020,10195,,
10/12/2020,01/11/2020,12593,,
10/12/2020,02/11/2020,14553,,
10/12/2020,03/11/2020,12455,,
10/12/2020,04/11/2020,12987,,
10/12/2020,05/11/2020,12739,,
10/12/2020,06/11/2020,13399,,
10/12/2020,07/11/2020,11954,,
10/12/2020,08/11/2020,11182,,
10/12/2020,09/11/2020,14224,,
10/12/2020,10/11/2020,13588,,
10/12/2020,11/11/2020,11987,,
10/12/2020,12/11/2020,11891,,
10/12/2020,13/11/2020,12274,,
10/12/2020,14/11/2020,11363,,
10/12/2020,15/11/2020,10322,,
10/12/2020,16/11/2020,12468,,
10/12/2020,17/11/2020,10382,,
10/12/2020,18/11/2020,10505,,
10/12/2020,19/11/2020,8917,,
10/12/2020,20/11/2020,10066,,
10/12/2020,21/11/2020,7737,,
10/12/2020,22/11/2020,7002,,
10/12/2020,23/11/2020,9193,,
10/12/2020,24/11/2020,7740,,739517
10/12/2020,25/11/2020,7677,,
10/12/2020,26/11/2020,7092,,
10/12/2020,27/11/2020,7064,,
10/12/2020,28/11/2020,6352,,
10/12/2020,29/11/2020,4552,,
10/12/2020,30/11/2020,6566,,
10/12/2020,01/12/2020,6118,,
10/12/2020,02/12/2020,4930,,
10/12/2020,03/12/2020,3807,,
10/12/2020,04/12/2020,2854,,
10/12/2020,05/12/2020,1791,,
10/12/2020,06/12/2020,1110,,
10/12/2020,07/12/2020,757,,
10/12/2020,08/12/2020,313,,
10/12/2020,09/12/2020,100,,
10/12/2020,10/12/2020,31,,
10/12/2020,,99905,,
