FID,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,SHAPE_AREA,SHAPE_LEN,POSITIVI,DECEDUTI,TOTALE,Shape__Area,Shape__Length
"330","459","03016227",VALNEGRA,BERGAMO,BG,LOMBARDIA,"2088823.42723039","9820.04134877141","3","0","3",4324036.65673828,14133.9887619178
"331","460","03108011",BRIOSCO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"6690579.09593328","17350.017958254","9","2","11",13733327.0253906,24858.9184143816
"332","461","03097074",SANTA MARIA HOE`,LECCO,LC,LOMBARDIA,"2800845.04584942","15499.994030566","8","2","10",5754537.61083984,22220.0650092714
"333","359","03017105",MARMENTINO,BRESCIA,BS,LOMBARDIA,"17927616.107582","24748.9897208667","2","0","2",36835725.3125,35481.2559061681
"334","360","03017017",BERZO INFERIORE,BRESCIA,BS,LOMBARDIA,"21989569.4999778","24517.8136967666","13","0","13",45417611.4492188,35250.78033751
"335","361","03098013",CASTELNUOVO BOCCA D`ADDA,LODI,LO,LOMBARDIA,"20435090.1581725","25407.6848053929","28","7","35",41052900.7709961,36022.0486869866
"336","362","03015071",CERRO AL LAMBRO,MILANO,MI,LOMBARDIA,"10153208.019697","19965.0621826102","11","0","11",20559055.9819336,28410.367463221
"337","363","03016081",COMUN NUOVO,BERGAMO,BG,LOMBARDIA,"6719082.34081309","12290.9530786086","14","6","20",13741126.7241211,17581.8058057871
"338","364","03017131",PAISCO LOVENO,BRESCIA,BS,LOMBARDIA,"35577488.4535793","30315.6418912986","1","0","1",73950214.4296875,43688.9384949916
"339","365","03016182",ROGNO,BERGAMO,BG,LOMBARDIA,"15888753.2566332","17913.1896722093","21","6","27",32778222.8046875,25729.5863711151
"340","366","03013222",TAVERNERIO,COMO,CO,LOMBARDIA,"11578554.4875488","22465.5096979683","13","0","13",23848247.4052734,32243.0538527909
"341","368","03016146",OLTRE IL COLLE,BERGAMO,BG,LOMBARDIA,"32803453.2140665","30482.120075074","8","2","10",67799310.6582031,43833.6953667815
"342","369","03016090",CUSIO,BERGAMO,BG,LOMBARDIA,"9365029.07553684","18388.2042625719","1","0","1",19418741.871582,26489.8170226363
"343","370","03016177",PUMENENGO,BERGAMO,BG,LOMBARDIA,"10122485.1291894","16649.1536185441","8","1","9",20594873.7695313,23746.6518369116
"344","371","03097007",BARZIO,LECCO,LC,LOMBARDIA,"21349487.2126411","24993.4311965069","4","2","6",44190626.5644531,35951.9542933796
"345","372","03020051",RODIGO,MANTOVA,MN,LOMBARDIA,"41514631.6121077","36457.0316693489","13","0","13",83629161.1030273,51738.5807553753
"346","373","03016043",CALCINATE,BERGAMO,BG,LOMBARDIA,"15196241.0649515","23954.9796954442","29","8","37",31083473.168457,34257.8848335343
"347","374","03020042",POGGIO RUSCO,MANTOVA,MN,LOMBARDIA,"42391670.0849728","32050.8533818436","27","5","32",84684878.1245117,45292.0343201047
"348","375","03015072",CERRO MAGGIORE,MILANO,MI,LOMBARDIA,"10259008.4287261","23750.6354460637","32","3","35",20963256.1274414,33952.254861897
"349","376","03016214",TORRE BOLDONE,BERGAMO,BG,LOMBARDIA,"3494004.92241412","10622.7907066841","66","31","97",7172753.07373047,15223.7622596032
"350","377","03019014",CAPPELLA DE` PICENARDI,CREMONA,CR,LOMBARDIA,"14074583.9137575","25858.8296304778","3","0","3",28307944.5727539,36675.8067319512
"351","378","03018147",SCALDASOLE,PAVIA,PV,LOMBARDIA,"11662821.9517","17345.2292627207","1","0","1",23451496.1054688,24585.6900870011
"352","379","03013242",VERTEMATE CON MINOPRIO,COMO,CO,LOMBARDIA,"5798322.73472737","13222.389092022","8","1","9",11906200.3334961,18949.9072571232
"353","380","03020024",GAZOLDO DEGLI IPPOLITI,MANTOVA,MN,LOMBARDIA,"12949609.5900836","18363.8989671606","18","2","20",26086087.7763672,26067.2465178899
"354","381","03016225",VALGOGLIO,BERGAMO,BG,LOMBARDIA,"31917950.3760119","24541.0793231899","5","0","5",66136151.980957,35321.2944233331
"355","383","03014024",COSIO VALTELLINO,SONDRIO,SO,LOMBARDIA,"23847978.9317061","25054.5460189505","5","1","6",49663224.0581055,36158.1107836961
"356","384","03012085",JERAGO CON ORAGO,VARESE,VA,LOMBARDIA,"4006848.04560617","10447.3274811129","3","0","3",8221845.27978516,14965.3764683206
"357","385","03016053",CARAVAGGIO,BERGAMO,BG,LOMBARDIA,"33290558.3246864","38511.7682932383","78","24","102",67788353.3701172,54971.5247184028
"358","386","03017044",CASTO,BRESCIA,BS,LOMBARDIA,"21334432.0024705","29039.7265829768","12","3","15",43739436.1865234,41577.6518049516
"359","387","03018033",CASEI GEROLA,PAVIA,PV,LOMBARDIA,"24639350.6565805","34516.3755977331","10","6","16",49337448.8154297,48863.5354727977
"360","388","03012095",MALGESSO,VARESE,VA,LOMBARDIA,"2773524.28376197","8865.61677998857","1","0","1",5714905.79345703,12729.8767684477
"361","390","03017018",BIENNO,BRESCIA,BS,LOMBARDIA,"46858159.134611","41723.1305838571","25","5","30",96797728.8642578,59961.0262360556
"362","391","03015115",LACCHIARELLA,MILANO,MI,LOMBARDIA,"24127510.7020845","36535.1845920433","11","1","12",48838317.9316406,51982.870600581
"363","392","03097010",BRIVIO,LECCO,LC,LOMBARDIA,"7988400.37767614","20241.7812721983","27","5","32",16415747.3896484,29025.0435470078
"364","389","03108025",LAZZATE,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"5137227.7413666","11002.0369554903","14","1","15",10529018.0942383,15749.4630828143
"365","394","03018181",VISTARINO,PAVIA,PV,LOMBARDIA,"9415915.6747855","19959.4429307087","3","0","3",18985162.4477539,28345.2434854762
"366","395","03108026",LESMO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"5028141.11538364","13316.3505207841","25","2","27",10295060.7924805,19056.9412624498
"367","396","03016216",TORRE DE` ROVERI,BERGAMO,BG,LOMBARDIA,"2726437.32451592","11573.8265929996","13","1","14",5592762.72460938,16573.7466869366
"368","397","03015219",TREZZANO ROSA,MILANO,MI,LOMBARDIA,"3441241.1570525","10690.5797409173","9","1","10",7030216.51367188,15280.5933942176
"369","398","03016085",COSTA VALLE IMAGNA,BERGAMO,BG,LOMBARDIA,"4346386.83533317","10104.6508024502","3","1","4",8948544.66357422,14499.9759703982
"370","399","03018020",BOSNASCO,PAVIA,PV,LOMBARDIA,"4780654.19338101","12795.2726574245","2","0","2",9587934.27050781,18112.3560792251
"371","400","03014007",BERBENNO DI VALTELLINA,SONDRIO,SO,LOMBARDIA,"35738372.7853043","27974.1790005716","7","0","7",74611882.3901367,40432.9725482786
"372","401","03108023",DESIO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"14667462.921212","23758.0245534902","96","7","103",30000865.0898438,33977.1763701331
"373","454","03016155",PALADINA,BERGAMO,BG,LOMBARDIA,"2108963.32970865","7498.22255939148","36","15","51",4330475.28125,10743.7680308471
"374","462","03098032",LODI VECCHIO,LODI,LO,LOMBARDIA,"16033046.021977","30748.5495334265","31","10","41",32430211.1655273,43731.6789447138
"375","463","03098014",CASTIGLIONE D`ADDA,LODI,LO,LOMBARDIA,"13113777.0306585","25682.7335236265","139","44","183",26451079.3349609,36473.3529656081
"376","464","03014010",BUGLIO IN MONTE,SONDRIO,SO,LOMBARDIA,"28068312.2423194","34433.3499179319","1","0","1",58637952.8164063,49790.8935835696
"377","465","03013232",VALMOREA,COMO,CO,LOMBARDIA,"3128733.77805859","9903.76341538659","5","2","7",6445671.421875,14214.3829172977
"378","466","03018101",MORNICO LOSANA,PAVIA,PV,LOMBARDIA,"8175705.230988","19124.8521296504","0","1","1",16368357.3925781,27053.3598257272
"379","467","03019111",VAIANO CREMASCO,CREMONA,CR,LOMBARDIA,"6263076.9105115","15751.3126103606","23","7","30",12700478.5004883,22429.7080778642
"380","402","03017056",COCCAGLIO,BRESCIA,BS,LOMBARDIA,"11998263.877944","18782.8742627987","57","12","69",24483792.2919922,26839.946893929
"381","403","03016124",LEFFE,BERGAMO,BG,LOMBARDIA,"6645808.39533941","12144.6520985694","26","19","45",13675510.878418,17421.6806368995
"382","404","03016169",PONTERANICA,BERGAMO,BG,LOMBARDIA,"8435944.63398111","20352.8755199562","44","8","52",17329322.4248047,29176.445382259
"383","405","03015059",CASSANO D`ADDA,MILANO,MI,LOMBARDIA,"18257289.4621125","27883.5568820186","67","10","77",37222417.4057617,39815.3171457599
"384","406","03018193",COLLI VERDI,PAVIA,PV,LOMBARDIA,"40868144.4699005","46128.8952592724","2","0","2",81533137.1171875,65175.0748743758
"385","407","03017101",MALONNO,BRESCIA,BS,LOMBARDIA,"30695145.9667638","28073.342140062","20","1","21",63910955.4848633,40504.9609477723
"386","408","03015188",ROSATE,MILANO,MI,LOMBARDIA,"18669203.968283","27969.7768320942","12","1","13",37829441.8256836,39807.5780838875
"387","409","03098055",SORDIO,LODI,LO,LOMBARDIA,"2818909.1726645","8981.17713152545","19","9","28",5709671.53320313,12779.1636607447
"388","410","03017121",ODOLO,BRESCIA,BS,LOMBARDIA,"6493764.9841532","12123.8904548188","4","0","4",13288850.3549805,17346.6921773151
"389","411","03017155",PREVALLE,BRESCIA,BS,LOMBARDIA,"9947606.92846712","17179.2175318072","16","4","20",20288277.9604492,24536.930907115
"390","412","03015032",BRESSO,MILANO,MI,LOMBARDIA,"3384441.121954","10347.4947513605","136","30","166",6902733.62158203,14776.855550537
"391","413","03016215",TORRE DE` BUSI,BERGAMO,BG,LOMBARDIA,"9196786.38041554","18380.3436750559","9","0","9",18919853.3305664,26361.3598735419
"392","414","03016226",VALLEVE,BERGAMO,BG,LOMBARDIA,"14776153.8585125","21353.4634190649","1","0","1",30676196.0517578,30760.3405653712
"393","415","03015142",MELZO,MILANO,MI,LOMBARDIA,"9677774.14447099","18965.9041962781","46","7","53",19711233.1118164,27066.1990005408
"394","416","03097054",MONTICELLO BRIANZA,LECCO,LC,LOMBARDIA,"4635551.90653152","20269.0132028865","14","0","14",9513689.03271484,29043.2531096549
"395","417","03016167",POGNANO,BERGAMO,BG,LOMBARDIA,"3268946.47122835","10345.5348590738","10","2","12",6677929.96582031,14785.7390368095
"396","418","03016200",SOLTO COLLINA,BERGAMO,BG,LOMBARDIA,"11873927.5448084","20925.4981149693","9","5","14",24428044.6782227,30011.8427924389
"397","419","03018138",SANNAZZARO DE` BURGONDI,PAVIA,PV,LOMBARDIA,"23282815.541867","38253.7315205589","14","6","20",46760662.3740234,54216.6607595985
"398","420","03017170",SALO`,BRESCIA,BS,LOMBARDIA,"25996367.6538835","37245.1609154798","48","7","55",53135634.1083984,53224.5266699106
"399","422","03014015",CASTIONE ANDEVENNO,SONDRIO,SO,LOMBARDIA,"17171600.6713459","20930.4234684494","3","1","4",35839304.3720703,30247.8811664432
"400","423","03018174",VERRETTO,PAVIA,PV,LOMBARDIA,"2738430.606655","8411.27761911138","1","2","3",5489161.38427734,11911.4681986265
"401","424","03108006",BELLUSCO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"6595840.81790645","20711.8526809319","24","11","35",13489859.4003906,29618.9496862472
"402","425","03018166",VAL DI NIZZA,PAVIA,PV,LOMBARDIA,"29530577.945752","29352.4656292956","1","0","1",58849134.4736328,41438.8985572391
"403","426","03013238",VENIANO,COMO,CO,LOMBARDIA,"3120137.19202791","10476.7051443575","2","0","2",6404632.75634766,15006.3568187959
"404","427","03017027",BRAONE,BRESCIA,BS,LOMBARDIA,"13418946.5447147","23751.5435457435","4","1","5",27789834.0029297,34171.1870471033
"405","428","03016047",CALVENZANO,BERGAMO,BG,LOMBARDIA,"6598661.565797","11045.7252608045","24","11","35",13435211.0131836,15764.7684152722
"406","429","03013129",LIPOMO,COMO,CO,LOMBARDIA,"2335411.03596357","8388.18128373648","12","3","15",4806376.72705078,12035.4255301199
"407","430","03016023",BERBENNO,BERGAMO,BG,LOMBARDIA,"6180642.70662951","11439.8193796519","14","2","16",12726449.2841797,16415.9896378773
"408","432","03012130",UBOLDO,VARESE,VA,LOMBARDIA,"10703121.2326536","16736.7816355144","8","1","9",21886332.4536133,23932.5422387322
"409","433","03017059",COLOGNE,BRESCIA,BS,LOMBARDIA,"13888247.5770705","20312.9646150637","38","8","46",28363000.40625,29024.647419575
"410","434","03013006",ALSERIO,COMO,CO,LOMBARDIA,"1449329.34659118","5547.39727227271","1","0","1",2981586.61621094,7960.46658808599
"411","435","03017165",RONCADELLE,BRESCIA,BS,LOMBARDIA,"9220138.3628705","18426.513261491","53","14","67",18800404.796875,26309.2234330058
"412","436","03108014",CAMPARADA,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"1623807.901379","7737.51661763717","2","0","2",3325698.73681641,11075.3553760394
"413","437","03013106",GARZENO,COMO,CO,LOMBARDIA,"28876698.5718662","31115.2660652901","4","0","4",60153723.7573242,44898.0104593025
"414","438","03018052",CONFIENZA,PAVIA,PV,LOMBARDIA,"26714021.849865","32179.9880501185","3","1","4",54097657.2792969,45792.9798572384
"415","440","03013101",FIGINO SERENZA,COMO,CO,LOMBARDIA,"5031492.2905851","13196.6168869064","4","2","6",10326426.7871094,18908.0163811245
"416","441","03016137",MONASTEROLO DEL CASTELLO,BERGAMO,BG,LOMBARDIA,"8539274.83242202","15464.0814353273","5","1","6",17551680.7163086,22165.5138887511
"417","442","03098047",SAN FIORANO,LODI,LO,LOMBARDIA,"8971542.6711205","16034.5246050952","19","7","26",18040074.4360352,22738.8981239232
"418","444","03020039",PEGOGNAGA,MANTOVA,MN,LOMBARDIA,"46684540.920361","41166.1650884065","33","6","39",93387883.2402344,58230.8555152721
"419","446","03097023",COLICO,LECCO,LC,LOMBARDIA,"33116822.1457762","31566.8426011585","15","1","16",68978111.8320313,45552.3839800228
"420","447","03098017",CAVENAGO D`ADDA,LODI,LO,LOMBARDIA,"16054346.150263","43954.6576525832","12","2","14",32449042.5605469,62478.5243083872
"421","448","03014027",DUBINO,SONDRIO,SO,LOMBARDIA,"13356795.3306931","17477.4918828042","6","0","6",27861314.09375,25250.3820342156
"422","449","03012110",ORINO,VARESE,VA,LOMBARDIA,"3930472.63318898","8691.88491658255","1","0","1",8114790.53564453,12483.7800558546
"423","450","03108032",MISINTO,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"5299574.579209","12375.2958685456","8","1","9",10855673.5551758,17699.8445422536
"424","451","03019066",PALAZZO PIGNANO,CREMONA,CR,LOMBARDIA,"8891912.41199951","19283.2703653913","15","1","16",18047502.065918,27482.0536197598
"425","452","03014070",TRESIVIO,SONDRIO,SO,LOMBARDIA,"15111797.9670929","21815.5752465733","3","1","4",31555409.0625,31541.734372251
"426","453","03019100",SPINADESCO,CREMONA,CR,LOMBARDIA,"17404461.1713755","23666.0143621357","18","1","19",34992942.9750977,33565.574181762
"427","455","03016007",ALMENNO SAN SALVATORE,BERGAMO,BG,LOMBARDIA,"4784716.72848789","11520.7493480194","33","4","37",9833154.453125,16517.6548055272
"428","468","03012009",BARDELLO,VARESE,VA,LOMBARDIA,"2150710.27016241","7665.18735063359","1","0","1",4433115.03173828,11005.0109240549
"429","469","03018186",ZEME,PAVIA,PV,LOMBARDIA,"24963609.676381","27367.3177182042","3","2","5",50304365.5742188,38842.4201418559
"430","470","03013107",GERA LARIO,COMO,CO,LOMBARDIA,"7993460.62585214","23688.1194225767","2","0","2",16669159.8969727,34208.6624109378
"431","471","03013015",BARNI,COMO,CO,LOMBARDIA,"5756626.01156184","10362.2348097451","1","0","1",11896410.0415039,14896.2733821039
"432","472","03013152",MOLTRASIO,COMO,CO,LOMBARDIA,"9169333.14247633","18051.8772297838","1","0","1",18925529.9370117,25943.3349740123
"433","473","03017057",COLLEBEATO,BRESCIA,BS,LOMBARDIA,"5359360.8177928","10517.2550150065","23","5","28",10947098.8632813,15036.2467506847
"434","536","03017011",BARBARIGA,BRESCIA,BS,LOMBARDIA,"11372317.0779535","19095.6585788337","28","11","39",23085189.9667969,27213.1694859474
"435","537","03015016",BELLINZAGO LOMBARDO,MILANO,MI,LOMBARDIA,"4536759.561903","11355.678530092","5","2","7",9252263.22802734,16214.414860604
"436","474","03018118",PORTALBERA,PAVIA,PV,LOMBARDIA,"4404892.932923","10701.3283830926","5","2","7",8846324.75683594,15162.5605066405
"437","475","03019035",CREMA,CREMONA,CR,LOMBARDIA,"34593733.8458365","37369.9386686336","328","86","414",70128741.7080078,53204.8430964474
"438","476","03012026",BUSTO ARSIZIO,VARESE,VA,LOMBARDIA,"30535197.3610625","33364.4283846587","88","8","96",62431972.2270508,47712.99167703
"439","477","03012088",LEGGIUNO,VARESE,VA,LOMBARDIA,"15563373.18034","19867.8740705086","5","0","5",32117490.0141602,28540.1793811819
"440","478","03018048",CHIGNOLO PO,PAVIA,PV,LOMBARDIA,"23396017.5594575","26973.2817353322","13","5","18",47068162.8154297,38237.0179724536
"441","479","03108027",LIMBIATE,MONZA E DELLA BRIANZA,MB,LOMBARDIA,"12384695.1522514","20481.9850365161","69","4","73",25316999.9116211,29278.569657453
"442","480","03015185",RODANO,MILANO,MI,LOMBARDIA,"12902456.054973","26335.3573834193","7","2","9",26255205.1748047,37572.9765845472
"443","481","03017143",PISOGNE,BRESCIA,BS,LOMBARDIA,"49325835.2465604","35984.9619713518","53","9","62",101517291.11377,51612.9038560605
"444","482","03016104",FORESTO SPARSO,BERGAMO,BG,LOMBARDIA,"7890328.26619144","12742.3026124483","13","9","22",16180175.6577148,18243.294845263
"445","484","03018046",CERTOSA DI PAVIA,PAVIA,PV,LOMBARDIA,"10753096.114264","24146.2018885906","8","1","9",21712057.3217773,34316.6490425911
"446","485","03014044",MONTAGNA IN VALTELLINA,SONDRIO,SO,LOMBARDIA,"44782256.0176657","40117.1527873167","6","3","9",93590389.0576172,58002.0329984604
"447","486","03017103",MANERBIO,BRESCIA,BS,LOMBARDIA,"27753837.0190453","35403.3898408785","115","30","145",56228866.8051758,50410.8052631027
"448","487","03015061",CASSINETTA DI LUGAGNANO,MILANO,MI,LOMBARDIA,"3340924.23781999","11819.2738665324","6","0","6",6787515.30029297,16845.6564550544
"449","488","03016229",VALTORTA,BERGAMO,BG,LOMBARDIA,"31342111.1023243","25885.6390254366","0","2","2",64943785.1816406,37258.1422219769
"450","489","03012113",PORTO CERESIO,VARESE,VA,LOMBARDIA,"5569394.45095695","12734.7496377928","1","0","1",11510326.7885742,18315.2343684506
"451","490","03015244",VIZZOLO PREDABISSI,MILANO,MI,LOMBARDIA,"5705965.9305165","14250.958073113","20","10","30",11563832.4311523,20293.1057280811
"452","491","03097015",CASARGO,LECCO,LC,LOMBARDIA,"19912539.0429833","35942.9564938574","1","0","1",41347916.7612305,51797.3612061929
"453","493","03018139",SANTA CRISTINA E BISSONE,PAVIA,PV,LOMBARDIA,"22093407.2358605","31425.1089298233","12","2","14",44461718.5263672,44589.0403146663
"454","494","03016244",ZANDOBBIO,BERGAMO,BG,LOMBARDIA,"6524148.61388719","12855.1014790787","16","4","20",13374793.4462891,18397.8099531738
"455","492","03017188",TRAVAGLIATO,BRESCIA,BS,LOMBARDIA,"17809615.5940577","25472.5708676106","42","6","48",36299007.4819336,36367.4253774557
"456","495","03098003",BOFFALORA D`ADDA,LODI,LO,LOMBARDIA,"8331020.49283001","18318.0568690284","6","1","7",16885039.8979492,26082.0595924765
"457","496","03013201",ROVELLASCA,COMO,CO,LOMBARDIA,"3423141.123808","13579.4804085275","6","1","7",7014352.8984375,19442.1786869381
"458","497","03015085",CORBETTA,MILANO,MI,LOMBARDIA,"18743325.5983295","34919.6758997811","44","7","51",38125239.9428711,49812.7122859808
"459","498","03019113",VESCOVATO,CREMONA,CR,LOMBARDIA,"17380313.1940925","27469.0536691452","29","6","35",34979728.0332031,38968.3697641649
"460","501","03017094",LOSINE,BRESCIA,BS,LOMBARDIA,"6333893.75972433","14365.6722290501","2","0","2",13120454.9179688,20672.7369817134
"461","502","03012040",CASSANO MAGNAGO,VARESE,VA,LOMBARDIA,"12250222.1295884","22452.4891194323","25","3","28",25102060.8681641,32157.0272217214
"462","503","03097092",LA VALLETTA BRIANZA,LECCO,LC,LOMBARDIA,"8827116.62471069","21581.2626810734","15","3","18",18127562.3520508,30926.8741501282
"463","504","03014060",SONDALO,SONDRIO,SO,LOMBARDIA,"96004984.5891055","49653.1437697342","10","2","12",201496675.385742,71921.5279931843
"464","505","03098002",BERTONICO,LODI,LO,LOMBARDIA,"20242244.8446065","30318.181207968","3","0","3",40861984.3803711,43076.5101302371
"465","506","03012073",GAZZADA SCHIANNO,VARESE,VA,LOMBARDIA,"4791891.2728723","12306.420415718","6","0","6",9857839.64990234,17652.3761168643
"466","507","03018109",PARONA,PAVIA,PV,LOMBARDIA,"9327179.8166385","18448.4529681899","8","4","12",18854558.2553711,26216.574335041
"467","508","03015170",PERO,MILANO,MI,LOMBARDIA,"5009452.872571","13636.8760284411","29","2","31",10207718.359375,19470.7357632991
"468","509","03014075",VERCEIA,SONDRIO,SO,LOMBARDIA,"11172984.7288531","24364.370921916","2","1","3",23331701.2451172,35190.2615618308
"469","510","03012070",GALLARATE,VARESE,VA,LOMBARDIA,"20975662.3089467","25018.9953423387","45","2","47",42972632.3510742,35811.6254253087
"470","511","03098024",CORTE PALASIO,LODI,LO,LOMBARDIA,"15626623.4368845","35530.8271360968","10","2","12",31620060.0654297,50542.6764102843
"471","512","03098031",LODI,LODI,LO,LOMBARDIA,"41419923.275015","42556.0626645024","329","69","398",83818459.1303711,60535.7602065291
"472","514","03098018",CERVIGNANO D`ADDA,LODI,LO,LOMBARDIA,"4113492.6557825","13540.4201821266","12","5","17",8341032.57910156,19284.3497652714
"473","513","03017201",VILLANUOVA SUL CLISI,BRESCIA,BS,LOMBARDIA,"9150661.28393131","16530.7221483505","40","6","46",18706457.7954102,23632.1389878295
"474","515","03016193",SARNICO,BERGAMO,BG,LOMBARDIA,"6431193.01807891","13922.5847593494","26","10","36",13179332.1484375,19925.0007099197
"475","516","03017053",CIGOLE,BRESCIA,BS,LOMBARDIA,"9972263.0349075","18834.7554178434","17","5","22",20174704.4506836,26795.7182545572
"476","518","03013032",BRUNATE,COMO,CO,LOMBARDIA,"1937974.7410942","8969.9174892139","5","1","6",3992811.33398438,12873.5506945024
"477","519","03019065",PADERNO PONCHIELLI,CREMONA,CR,LOMBARDIA,"23941134.9578734","30477.0734744838","15","2","17",48301389.4760742,43303.5812654767
"478","520","03017169",SALE MARASINO,BRESCIA,BS,LOMBARDIA,"16399594.56976","23023.5086631733","14","3","17",33649377.6982422,32976.9296401343
"479","521","03019059",MONTODINE,CREMONA,CR,LOMBARDIA,"11854630.655282","22081.8307714804","31","5","36",23956888.9130859,31397.3117784991
"480","517","03097034",ERVE,LECCO,LC,LOMBARDIA,"6185106.99111383","10956.4922862601","3","0","3",12744288.7880859,15725.4135723137
"481","522","03012091",LOZZA,VARESE,VA,LOMBARDIA,"1685853.63036512","7436.18155943814","1","0","1",3467656.99121094,10665.4475319547
"482","524","03018177",VIGEVANO,PAVIA,PV,LOMBARDIA,"82081828.4731352","54958.3332985862","204","53","257",166070552.192383,78155.9670446894
"483","525","03017141",PEZZAZE,BRESCIA,BS,LOMBARDIA,"21598294.9213406","27164.3952638555","5","1","6",44424425.1933594,38957.2983247806
"484","526","03097059",OLGINATE,LECCO,LC,LOMBARDIA,"8037602.88262783","19578.4203326527","25","3","28",16539168.0043945,28095.5960641265
"485","527","03097071",ROBBIATE,LECCO,LC,LOMBARDIA,"4692748.17621901","14446.7911056393","26","4","30",9621800.33251953,20692.8884396448
"486","529","03018078",LANDRIANO,PAVIA,PV,LOMBARDIA,"15797675.242372","27082.3170093525","12","4","16",31963916.5073242,38521.6376120137
"487","530","03017038",CAPRIOLO,BRESCIA,BS,LOMBARDIA,"10803591.5982062","22349.6142499563","59","17","76",22109094.8999023,31977.2387516238
"488","531","03018135",SAN GENESIO ED UNITI,PAVIA,PV,LOMBARDIA,"9202108.137647","21478.9870420898","6","1","7",18572204.9633789,30512.8481853306
"489","532","03017087",LAVENONE,BRESCIA,BS,LOMBARDIA,"31889303.868901","30644.8774535298","2","0","2",65549650.6181641,43939.5903772492
"490","533","03020007",BOZZOLO,MANTOVA,MN,LOMBARDIA,"18839305.1464845","21027.4517850619","15","1","16",37836575.2412109,29802.2122508059
"491","534","03020068",VILLIMPENTA,MANTOVA,MN,LOMBARDIA,"15021338.1410879","23450.3518312213","1","1","2",30192942.9345703,33241.7154196887
"492","535","03017080",GOTTOLENGO,BRESCIA,BS,LOMBARDIA,"29079741.3292884","32409.8034259655","31","11","42",58813738.2509766,46108.2425079638
"493","538","03018072",GIUSSAGO,PAVIA,PV,LOMBARDIA,"24829108.578252","32526.4135370417","8","1","9",50186685.8417969,46255.1868423755
"494","580","03014002",ALBOSAGGIA,SONDRIO,SO,LOMBARDIA,"34065125.6108237","35749.5181853631","3","0","3",70949084.1235352,51610.7447002933
"495","581","03018103",NICORVO,PAVIA,PV,LOMBARDIA,"8098284.87443701","17685.5580236322","1","1","2",16370346.8647461,25150.6382242812
"496","578","03015167",PANTIGLIATE,MILANO,MI,LOMBARDIA,"5707558.118262","11453.9300279472","27","6","33",11601477.4912109,16331.6108850466
"497","582","03018130",ROSASCO,PAVIA,PV,LOMBARDIA,"19877170.544513","31143.8993958068","1","0","1",40137036.1147461,44250.9549615986
"498","583","03098054",SOMAGLIA,LODI,LO,LOMBARDIA,"20774249.6510705","36850.28811726","24","5","29",41795286.3583984,52278.591807796
"499","584","03017032",CALCINATO,BRESCIA,BS,LOMBARDIA,"33326606.4765937","28366.0420672886","54","8","62",67764081.5288086,40442.0780525051
"500","585","03012012",BESNATE,VARESE,VA,LOMBARDIA,"7729192.7095996","13699.0072630752","5","1","6",15856593.6635742,19622.1669535423
"501","586","03015041",BUSTO GAROLFO,MILANO,MI,LOMBARDIA,"12800461.9535525","22079.5312233896","24","0","24",26114752.1191406,31531.5020005866
"502","587","03016006",ALMENNO SAN BARTOLOMEO,BERGAMO,BG,LOMBARDIA,"10486523.2510344","17318.3811090483","30","3","33",21549400.3574219,24826.2493567522
"503","588","03020013",CASTELBELFORTE,MANTOVA,MN,LOMBARDIA,"22323575.6185046","29930.3161347341","6","0","6",44998938.3266602,42486.6498836756
"504","539","03018091",MEZZANA RABATTONE,PAVIA,PV,LOMBARDIA,"6368626.93441199","11705.9305126473","1","0","1",12791718.6391602,16594.0686370846
"505","540","03018018",BORGO SAN SIRO,PAVIA,PV,LOMBARDIA,"17690660.683811","30304.2530218626","2","1","3",35712341.1904297,43053.689525761
"506","541","03013144",MASLIANICO,COMO,CO,LOMBARDIA,"1314749.74394009","5353.95057368611","2","0","2",2711044.64453125,7688.42372765261
"507","542","03016154",PAGAZZANO,BERGAMO,BG,LOMBARDIA,"5161455.8329225","10691.9790428428","9","2","11",10525690.1831055,15271.9884305013
"508","543","03098049",SAN ROCCO AL PORTO,LODI,LO,LOMBARDIA,"30594604.8372005","29006.1898476115","34","12","46",61417341.1157227,41091.251680312
"509","544","03020056",SAN GIACOMO DELLE SEGNATE,MANTOVA,MN,LOMBARDIA,"16636353.2776387","23465.2161751958","5","0","5",33241638.1166992,33166.908703405
"510","545","03012133",VARESE,VARESE,VA,LOMBARDIA,"54657588.2269274","53969.7893126432","71","13","84",112622148.885742,77475.8268776669
"511","546","03017009",BAGNOLO MELLA,BRESCIA,BS,LOMBARDIA,"31285428.1520612","28891.4636093537","101","17","118",63537155.1474609,41171.7027455963
"512","547","03097039",IMBERSAGO,LECCO,LC,LOMBARDIA,"3156107.17541049","9684.59818022347","12","3","15",6475926.78955078,13875.4310458305
"513","548","03016122",ISSO,BERGAMO,BG,LOMBARDIA,"5082317.8087125","16315.9889264401","1","0","1",10341614.3623047,23273.3503651843
